cctv-列表,#genre#
CCTV3综艺,http://219.141.45.161:8188/rtp/238.255.3.134:5999
CCTV4中文国际,http://219.141.45.161:8188/rtp/238.255.3.135:5999
CCTV5体育,http://219.141.45.161:8188/rtp/238.255.3.136:5999
CCTV6电影,http://219.141.45.161:8188/rtp/238.255.3.137:5999
CCTV7国防军事,http://219.141.45.161:8188/rtp/238.255.3.138:5999
CCTV8电视剧,http://219.141.45.161:8188/rtp/238.255.3.139:5999
CCTV9纪录,http://219.141.45.161:8188/rtp/238.255.3.140:5999
CCTV10科教,http://219.141.45.161:8188/rtp/238.255.3.141:5999
CCTV11戏曲,http://219.141.45.161:8188/rtp/238.255.3.142:5999
CCTV12社会与法,http://219.141.45.161:8188/rtp/238.255.3.143:5999
CCTV13新闻,http://219.141.45.161:8188/rtp/238.255.3.144:5999
CCTV14少儿,http://219.141.45.161:8188/rtp/238.255.3.145:5999
CCTV15音乐,http://219.141.45.161:8188/rtp/238.255.3.146:5999
CCTV16奥林匹克,http://219.141.45.161:8188/rtp/238.255.3.110:5999
CCTV17农业农村,http://219.141.45.161:8188/rtp/238.255.3.147:5999
CCTV5+体育赛事,http://219.141.45.161:8188/rtp/238.255.3.148:5999
CCTV1综合,http://123.163.114.57:8800/rtp/239.16.10.1:2000
CCTV2财经,http://123.163.114.57:8800/rtp/239.16.10.127:2000
CCTV3综艺,http://123.163.114.57:8800/rtp/239.16.10.2:2000
CCTV4中文国际,http://123.163.114.57:8800/rtp/239.16.10.128:2000
